date,account,category,amount,currency,converted amount,currency,description
30/11/2014,ПриватБанк,Связь,-50,UAH,-50,UAH,
01/12/2014,Наличные,Жилье,-51,UAH,-51,UAH,
01/12/2014,Наличные,Еда,-5,UAH,-5,UAH,Орбит
01/12/2014,Наличные,Бонус,32,UAH,32,UAH,
01/12/2014,Отдых,Сбережения,500,UAH,500,UAH,
01/12/2014,Гривна,Зарплата,300,UAH,300,UAH,
01/12/2014,Наличные,Бонус,5,UAH,5,UAH,
02/12/2014,Наличные,Еда,-50,UAH,-50,UAH,
02/12/2014,Гривна,Другое,-500,UAH,-500,UAH,Катя
03/12/2014,Наличные,Еда,-16,UAH,-16,UAH,
04/12/2014,Гривна,To 'Наличные',-100,UAH,-100,UAH,
04/12/2014,Наличные,From 'Гривна',100,UAH,100,UAH,
04/12/2014,Наличные,Химия,-110,UAH,-110,UAH,
05/12/2014,Наличные,Еда,-92,UAH,-92,UAH,
05/12/2014,Гривна,Зарплата,1 600,UAH,1 600,UAH,
06/12/2014,Наличные,Кафе,-112,UAH,-112,UAH,Макдональдс
06/12/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
06/12/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
06/12/2014,Наличные,Стрижка,-65,UAH,-65,UAH,
07/12/2014,Гривна,To 'Наличные',-900,UAH,-900,UAH,
07/12/2014,Наличные,From 'Гривна',900,UAH,900,UAH,
07/12/2014,Наличные,Еда,-487,UAH,-487,UAH,
07/12/2014,ПриватБанк,Интернет,-50,UAH,-50,UAH,
07/12/2014,ПриватБанк,Интернет,-65,UAH,-65,UAH,
08/12/2014,Наличные,Кафе,-250,UAH,-250,UAH,Пицца
09/12/2014,Наличные,Жилье,-51,UAH,-51,UAH,Вешалки. Доска
09/12/2014,Наличные,Транспорт,-50,UAH,-50,UAH,
10/12/2014,Наличные,Другое,-50,UAH,-50,UAH,Др
10/12/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
10/12/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
10/12/2014,Наличные,Еда,-5,UAH,-5,UAH,Орбит
11/12/2014,Наличные,Подарки,-200,UAH,-200,UAH,Др сокол
11/12/2014,Отдых,Сбережения,500,UAH,500,UAH,Катя
11/12/2014,Гривна,Зарплата,1 600,UAH,1 600,UAH,
12/12/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
12/12/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
13/12/2014,Наличные,Жилье,-25,UAH,-25,UAH,
14/12/2014,Гривна,Посуда,-150,UAH,-150,UAH,
14/12/2014,Наличные,Кафе,-45,UAH,-45,UAH,
14/12/2014,Гривна,"Кино, театр, музей",-200,UAH,-200,UAH,
14/12/2014,Гривна,Подарки,-680,UAH,-680,UAH,Скороварка 
14/12/2014,Наличные,"Кино, театр, музей",-180,UAH,-180,UAH,
14/12/2014,Наличные,Бонус,100,UAH,100,UAH,
14/12/2014,Наличные,Бонус,15,UAH,15,UAH,
14/12/2014,Гривна,Другое,-70,UAH,-70,UAH,
15/12/2014,ПриватБанк,Еда,-295,UAH,-295,UAH,
16/12/2014,Гривна,Зарплата,5 100,UAH,5 100,UAH,
17/12/2014,Гривна,To 'Наличные',-2 200,UAH,-2 200,UAH,
17/12/2014,Наличные,From 'Гривна',2 200,UAH,2 200,UAH,
17/12/2014,Наличные,Подарки,-2 100,UAH,-2 100,UAH,
17/12/2014,Наличные,Еда,-12,UAH,-12,UAH,Вода
18/12/2014,Наличные,Транспорт,-50,UAH,-50,UAH,
19/12/2014,Наличные,Еда,-111,UAH,-111,UAH,
19/12/2014,ПриватБанк,Связь,-41,UAH,-41,UAH,
19/12/2014,Наличные,АТО,-200,UAH,-200,UAH,
20/12/2014,Гривна,To 'Наличные',-500,UAH,-500,UAH,
20/12/2014,Наличные,From 'Гривна',500,UAH,500,UAH,
20/12/2014,Гривна,To 'Наличные',-300,UAH,-300,UAH,
20/12/2014,Наличные,From 'Гривна',300,UAH,300,UAH,
20/12/2014,Наличные,Другое,-100,UAH,-100,UAH,
21/12/2014,Наличные,Жилье,-434,UAH,-434,UAH,
21/12/2014,Гривна,To 'Наличные',-100,UAH,-100,UAH,
21/12/2014,Наличные,From 'Гривна',100,UAH,100,UAH,
21/12/2014,Наличные,Другое,-56,UAH,-56,UAH,
22/12/2014,Наличные,Еда,-5,UAH,-5,UAH,Орбит 
24/12/2014,Наличные,Еда,-49,UAH,-49,UAH,
24/12/2014,Наличные,Развлечения,-21,UAH,-21,UAH,Пиво
25/12/2014,Наличные,Еда,-5,UAH,-5,UAH,Орбит
25/12/2014,Гривна,Жилье,-2 500,UAH,-2 500,UAH,
25/12/2014,Наличные,Бонус,23,UAH,23,UAH,
26/12/2014,ПриватБанк,Электроника,-150,UAH,-150,UAH,Флешка
26/12/2014,Гривна,Зарплата,900,UAH,900,UAH,
26/12/2014,Наличные,Зарплата,25,UAH,25,UAH,
26/12/2014,Гривна,Зарплата,1 600,UAH,1 600,UAH,
26/12/2014,Гривна,To 'Наличные',-300,UAH,-300,UAH,
26/12/2014,Наличные,From 'Гривна',300,UAH,300,UAH,
27/12/2014,Наличные,Другое,-50,UAH,-50,UAH,Ёлка 
27/12/2014,Наличные,Другое,-30,UAH,-30,UAH,Герлянда 
27/12/2014,Наличные,Посуда,-110,UAH,-110,UAH,Мелочь
27/12/2014,Наличные,Жилье,-40,UAH,-40,UAH,Вешалка. Ершик 
27/12/2014,Гривна,To 'Наличные',-300,UAH,-300,UAH,
27/12/2014,Наличные,From 'Гривна',300,UAH,300,UAH,
27/12/2014,Наличные,Еда,-434,UAH,-434,UAH,
27/12/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
27/12/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
28/12/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
28/12/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
28/12/2014,Наличные,Подарки,-52,UAH,-52,UAH,Игрушка
28/12/2014,Наличные,Подарки,-96,UAH,-96,UAH,Игрушки 
28/12/2014,Наличные,Еда,-1,UAH,-1,UAH,Сникерс 
28/12/2014,Наличные,Транспорт,-21,UAH,-21,UAH,
28/12/2014,Наличные,Транспорт,-24,UAH,-24,UAH,
28/12/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
28/12/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
29/12/2014,Наличные,Жилье,-38,UAH,-38,UAH,
29/12/2014,Наличные,Транспорт,-12,UAH,-12,UAH,
30/12/2014,Наличные,Кафе,-33,UAH,-33,UAH,
30/12/2014,Наличные,Транспорт,-20,UAH,-20,UAH,
30/12/2014,ПриватБанк,Связь,-35,UAH,-35,UAH,Мой
31/12/2014,Наличные,Еда,-219,UAH,-219,UAH,
31/12/2014,Гривна,To 'Наличные',-300,UAH,-300,UAH,
31/12/2014,Наличные,From 'Гривна',300,UAH,300,UAH,
01/01/2015,Наличные,Такси,-110,UAH,-110,UAH,
01/01/2015,Наличные,Развлечения,-120,UAH,-120,UAH,
03/01/2015,Наличные,Здоровье,-45,UAH,-45,UAH,
03/01/2015,Наличные,Кафе,-24,UAH,-24,UAH,Макдональда
03/01/2015,Наличные,Еда,-88,UAH,-88,UAH,Рошен
